SpoersmaalNivaa;Spoersmaalgruppekode;Spoersmaalgruppe;Spoersmaalkode;Spoersmaalnavn;Skoleaarnavn;EnhetNivaa;Nasjonaltkode;Nasjonalt;Fylkekode;Fylke;Organisasjonsnummer;EnhetNavn;GruppeNivaa;GruppeKode;GruppeNavn;ProgramomraadeNivaa;UtdanningstypeKode;UtdanningstypeNavn;Utdanningsprogramkode;UtdanningsprogramNavn;TrinnNivaa;TrinnKode;Trinnnavn;KjoennNivaa;KjoennKode;Kjoenn;EierformNivaa;Eierformkode;EierformNavn;Score;Standardavvik;AntallBesvart;AndelSvaralternativ1;AndelSvaralternativ2;AndelSvaralternativ3;AndelSvaralternativ4;AndelSvaralternativ5;AntallBesvartSvaralternativ1;AntallBesvartSvaralternativ2;AntallBesvartSvaralternativ3;AntallBesvartSvaralternativ4;AntallBesvartSvaralternativ5;Sidenummer;RaderSide;RaderTotalt
1;EUIndeks_1384;Mestring;EUIndeks_1384;Mestring;2021-22;2;I;Hele landet;38;Vestfold og Telemark;38;Vestfold og Telemark;0;Alle;Alle grupper;2;SFB;Studieforberedende;ME;Medier og kommunikasjon;1;1;Videregående trinn 1;1;G;Gutt;0;-10;Alle eierformer;*;*;*;;;;;;;;;;;1;4361;8720
1;EUIndeks_1385;Motivasjon;EUIndeks_1385;Motivasjon;2021-22;2;I;Hele landet;38;Vestfold og Telemark;38;Vestfold og Telemark;0;Alle;Alle grupper;2;SFB;Studieforberedende;ME;Medier og kommunikasjon;1;1;Videregående trinn 1;1;G;Gutt;0;-10;Alle eierformer;*;*;*;;;;;;;;;;;1;4361;8720
1;EUIndeks_1385;Motivasjon;EUIndeks_1385;Motivasjon;2021-22;2;I;Hele landet;38;Vestfold og Telemark;38;Vestfold og Telemark;0;Alle;Alle grupper;2;SFB;Studieforberedende;KD;Kunst, design og arkitektur;1;1;Videregående trinn 1;1;G;Gutt;0;-10;Alle eierformer;*;*;*;;;;;;;;;;;1;4361;8720
1;EUIndeks_1384;Mestring;EUIndeks_1384;Mestring;2021-22;2;I;Hele landet;38;Vestfold og Telemark;38;Vestfold og Telemark;0;Alle;Alle grupper;2;SFB;Studieforberedende;MD;Musikk, dans og drama;1;2;Videregående trinn 2;1;G;Gutt;0;-10;Alle eierformer;*;*;*;;;;;;;;;;;1;4361;8720
1;EUIndeks_1385;Motivasjon;EUIndeks_1385;Motivasjon;2021-22;2;I;Hele landet;38;Vestfold og Telemark;38;Vestfold og Telemark;0;Alle;Alle grupper;2;SFB;Studieforberedende;MD;Musikk, dans og drama;1;2;Videregående trinn 2;1;G;Gutt;0;-10;Alle eierformer;*;*;*;;;;;;;;;;;1;4361;8720
1;EUIndeks_1382;Vurdering for læring;EUIndeks_1382;Vurdering for læring;2021-22;2;I;Hele landet;38;Vestfold og Telemark;38;Vestfold og Telemark;0;Alle;Alle grupper;2;SFB;Studieforberedende;ME;Medier og kommunikasjon;1;2;Videregående trinn 2;1;J;Jente;0;-10;Alle eierformer;*;*;*;;;;;;;;;;;1;4361;8720
1;EUIndeks_1383;Læringskultur;EUIndeks_1383;Læringskultur;2021-22;2;I;Hele landet;38;Vestfold og Telemark;38;Vestfold og Telemark;0;Alle;Alle grupper;2;SFB;Studieforberedende;ME;Medier og kommunikasjon;1;2;Videregående trinn 2;1;J;Jente;0;-10;Alle eierformer;*;*;*;;;;;;;;;;;1;4361;8720
1;EUIndeks_1382;Vurdering for læring;EUIndeks_1382;Vurdering for læring;2021-22;2;I;Hele landet;38;Vestfold og Telemark;38;Vestfold og Telemark;0;Alle;Alle grupper;2;SFB;Studieforberedende;KD;Kunst, design og arkitektur;1;2;Videregående trinn 2;1;J;Jente;0;-10;Alle eierformer;*;*;*;;;;;;;;;;;1;4361;8720
1;EUIndeks_1382;Vurdering for læring;EUIndeks_1382;Vurdering for læring;2021-22;2;I;Hele landet;38;Vestfold og Telemark;38;Vestfold og Telemark;0;Alle;Alle grupper;2;SFB;Studieforberedende;KD;Kunst, design og arkitektur;1;2;Videregående trinn 2;1;G;Gutt;0;-10;Alle eierformer;*;*;*;;;;;;;;;;;1;4361;8720
1;EUIndeks_1383;Læringskultur;EUIndeks_1383;Læringskultur;2021-22;2;I;Hele landet;38;Vestfold og Telemark;38;Vestfold og Telemark;0;Alle;Alle grupper;2;SFB;Studieforberedende;KD;Kunst, design og arkitektur;1;2;Videregående trinn 2;1;J;Jente;0;-10;Alle eierformer;*;*;*;;;;;;;;;;;1;4361;8720
1;EUIndeks_1383;Læringskultur;EUIndeks_1383;Læringskultur;2021-22;2;I;Hele landet;38;Vestfold og Telemark;38;Vestfold og Telemark;0;Alle;Alle grupper;2;SFB;Studieforberedende;KD;Kunst, design og arkitektur;1;2;Videregående trinn 2;1;G;Gutt;0;-10;Alle eierformer;*;*;*;;;;;;;;;;;1;4361;8720
1;EUIndeks_1382;Vurdering for læring;EUIndeks_1382;Vurdering for læring;2021-22;2;I;Hele landet;38;Vestfold og Telemark;38;Vestfold og Telemark;0;Alle;Alle grupper;2;SFB;Studieforberedende;MD;Musikk, dans og drama;1;2;Videregående trinn 2;1;G;Gutt;0;-10;Alle eierformer;*;*;*;;;;;;;;;;;1;4361;8720
1;EUIndeks_1382;Vurdering for læring;EUIndeks_1382;Vurdering for læring;2021-22;2;I;Hele landet;38;Vestfold og Telemark;38;Vestfold og Telemark;0;Alle;Alle grupper;2;SFB;Studieforberedende;ME;Medier og kommunikasjon;1;1;Videregående trinn 1;1;G;Gutt;0;-10;Alle eierformer;*;*;*;;;;;;;;;;;1;4361;8720
1;EUIndeks_1382;Vurdering for læring;EUIndeks_1382;Vurdering for læring;2021-22;2;I;Hele landet;38;Vestfold og Telemark;38;Vestfold og Telemark;0;Alle;Alle grupper;2;SFB;Studieforberedende;KD;Kunst, design og arkitektur;1;1;Videregående trinn 1;1;G;Gutt;0;-10;Alle eierformer;*;*;*;;;;;;;;;;;1;4361;8720
1;EUIndeks_1383;Læringskultur;EUIndeks_1383;Læringskultur;2021-22;2;I;Hele landet;38;Vestfold og Telemark;38;Vestfold og Telemark;0;Alle;Alle grupper;2;SFB;Studieforberedende;ME;Medier og kommunikasjon;1;1;Videregående trinn 1;1;G;Gutt;0;-10;Alle eierformer;*;*;*;;;;;;;;;;;1;4361;8720
1;EUIndeks_1381;Støtte hjemmefra;EUIndeks_1381;Støtte hjemmefra;2021-22;2;I;Hele landet;38;Vestfold og Telemark;38;Vestfold og Telemark;0;Alle;Alle grupper;2;SFB;Studieforberedende;ME;Medier og kommunikasjon;1;2;Videregående trinn 2;1;J;Jente;0;-10;Alle eierformer;*;*;*;;;;;;;;;;;1;4361;8720
1;EUIndeks_1381;Støtte hjemmefra;EUIndeks_1381;Støtte hjemmefra;2021-22;2;I;Hele landet;38;Vestfold og Telemark;38;Vestfold og Telemark;0;Alle;Alle grupper;2;SFB;Studieforberedende;KD;Kunst, design og arkitektur;1;2;Videregående trinn 2;1;G;Gutt;0;-10;Alle eierformer;*;*;*;;;;;;;;;;;1;4361;8720
1;EUIndeks_1381;Støtte hjemmefra;EUIndeks_1381;Støtte hjemmefra;2021-22;2;I;Hele landet;38;Vestfold og Telemark;38;Vestfold og Telemark;0;Alle;Alle grupper;2;SFB;Studieforberedende;MD;Musikk, dans og drama;1;2;Videregående trinn 2;1;G;Gutt;0;-10;Alle eierformer;*;*;*;;;;;;;;;;;1;4361;8720
1;EUIndeks_1381;Støtte hjemmefra;EUIndeks_1381;Støtte hjemmefra;2021-22;2;I;Hele landet;38;Vestfold og Telemark;38;Vestfold og Telemark;0;Alle;Alle grupper;2;SFB;Studieforberedende;ME;Medier og kommunikasjon;1;1;Videregående trinn 1;1;G;Gutt;0;-10;Alle eierformer;*;*;*;;;;;;;;;;;1;4361;8720
1;EUIndeks_1381;Støtte hjemmefra;EUIndeks_1381;Støtte hjemmefra;2021-22;2;I;Hele landet;38;Vestfold og Telemark;38;Vestfold og Telemark;0;Alle;Alle grupper;2;SFB;Studieforberedende;KD;Kunst, design og arkitektur;1;1;Videregående trinn 1;1;G;Gutt;0;-10;Alle eierformer;*;*;*;;;;;;;;;;;1;4361;8720
1;EUIndeks_1381;Støtte hjemmefra;EUIndeks_1381;Støtte hjemmefra;2021-22;2;I;Hele landet;38;Vestfold og Telemark;38;Vestfold og Telemark;0;Alle;Alle grupper;2;SFB;Studieforberedende;MD;Musikk, dans og drama;1;1;Videregående trinn 1;1;G;Gutt;0;-10;Alle eierformer;*;*;*;;;;;;;;;;;1;4361;8720
1;EUIndeks_1386;Elevdemokrati og medvirkning;EUIndeks_1386;Elevdemokrati og medvirkning;2021-22;2;I;Hele landet;38;Vestfold og Telemark;38;Vestfold og Telemark;0;Alle;Alle grupper;2;SFB;Studieforberedende;ME;Medier og kommunikasjon;1;3;Videregående trinn 3;1;J;Jente;0;-10;Alle eierformer;*;*;*;;;;;;;;;;;1;4361;8720
1;EUIndeks_1387;Felles regler;EUIndeks_1387;Felles regler;2021-22;2;I;Hele landet;38;Vestfold og Telemark;38;Vestfold og Telemark;0;Alle;Alle grupper;2;SFB;Studieforberedende;ME;Medier og kommunikasjon;1;3;Videregående trinn 3;1;J;Jente;0;-10;Alle eierformer;*;*;*;;;;;;;;;;;1;4361;8720
1;EUIndeks_1386;Elevdemokrati og medvirkning;EUIndeks_1386;Elevdemokrati og medvirkning;2021-22;2;I;Hele landet;38;Vestfold og Telemark;38;Vestfold og Telemark;0;Alle;Alle grupper;2;SFB;Studieforberedende;KD;Kunst, design og arkitektur;1;3;Videregående trinn 3;1;J;Jente;0;-10;Alle eierformer;*;*;*;;;;;;;;;;;1;4361;8720
1;EUIndeks_1387;Felles regler;EUIndeks_1387;Felles regler;2021-22;2;I;Hele landet;38;Vestfold og Telemark;38;Vestfold og Telemark;0;Alle;Alle grupper;2;SFB;Studieforberedende;KD;Kunst, design og arkitektur;1;3;Videregående trinn 3;1;J;Jente;0;-10;Alle eierformer;*;*;*;;;;;;;;;;;1;4361;8720
1;EUIndeks_1387;Felles regler;EUIndeks_1387;Felles regler;2021-22;2;I;Hele landet;38;Vestfold og Telemark;38;Vestfold og Telemark;0;Alle;Alle grupper;2;SFB;Studieforberedende;KD;Kunst, design og arkitektur;1;3;Videregående trinn 3;1;G;Gutt;0;-10;Alle eierformer;*;*;*;;;;;;;;;;;1;4361;8720
1;EUIndeks_1386;Elevdemokrati og medvirkning;EUIndeks_1386;Elevdemokrati og medvirkning;2021-22;2;I;Hele landet;38;Vestfold og Telemark;38;Vestfold og Telemark;0;Alle;Alle grupper;2;SFB;Studieforberedende;PB;Påbygging til generell studiekompetanse;1;3;Videregående trinn 3;1;G;Gutt;0;-10;Alle eierformer;*;*;*;;;;;;;;;;;1;4361;8720
1;EUIndeks_1387;Felles regler;EUIndeks_1387;Felles regler;2021-22;2;I;Hele landet;38;Vestfold og Telemark;38;Vestfold og Telemark;0;Alle;Alle grupper;2;SFB;Studieforberedende;PB;Påbygging til generell studiekompetanse;1;3;Videregående trinn 3;1;G;Gutt;0;-10;Alle eierformer;*;*;*;;;;;;;;;;;1;4361;8720
1;EUIndeks_1386;Elevdemokrati og medvirkning;EUIndeks_1386;Elevdemokrati og medvirkning;2021-22;2;I;Hele landet;38;Vestfold og Telemark;38;Vestfold og Telemark;0;Alle;Alle grupper;2;SFB;Studieforberedende;ST;Studiespesialisering;1;3;Videregående trinn 3;1;G;Gutt;0;-10;Alle eierformer;*;*;*;;;;;;;;;;;1;4361;8720
1;EUIndeks_1387;Felles regler;EUIndeks_1387;Felles regler;2021-22;2;I;Hele landet;38;Vestfold og Telemark;38;Vestfold og Telemark;0;Alle;Alle grupper;2;SFB;Studieforberedende;ST;Studiespesialisering;1;3;Videregående trinn 3;1;G;Gutt;0;-10;Alle eierformer;*;*;*;;;;;;;;;;;1;4361;8720
1;EUIndeks_1384;Mestring;EUIndeks_1384;Mestring;2021-22;2;I;Hele landet;38;Vestfold og Telemark;38;Vestfold og Telemark;0;Alle;Alle grupper;2;SFB;Studieforberedende;ME;Medier og kommunikasjon;1;3;Videregående trinn 3;1;J;Jente;0;-10;Alle eierformer;*;*;*;;;;;;;;;;;1;4361;8720
1;EUIndeks_1384;Mestring;EUIndeks_1384;Mestring;2021-22;2;I;Hele landet;38;Vestfold og Telemark;38;Vestfold og Telemark;0;Alle;Alle grupper;2;SFB;Studieforberedende;KD;Kunst, design og arkitektur;1;3;Videregående trinn 3;1;G;Gutt;0;-10;Alle eierformer;*;*;*;;;;;;;;;;;1;4361;8720
1;EUIndeks_1385;Motivasjon;EUIndeks_1385;Motivasjon;2021-22;2;I;Hele landet;38;Vestfold og Telemark;38;Vestfold og Telemark;0;Alle;Alle grupper;2;SFB;Studieforberedende;ME;Medier og kommunikasjon;1;3;Videregående trinn 3;1;J;Jente;0;-10;Alle eierformer;*;*;*;;;;;;;;;;;1;4361;8720
1;EUIndeks_1385;Motivasjon;EUIndeks_1385;Motivasjon;2021-22;2;I;Hele landet;38;Vestfold og Telemark;38;Vestfold og Telemark;0;Alle;Alle grupper;2;SFB;Studieforberedende;KD;Kunst, design og arkitektur;1;3;Videregående trinn 3;1;J;Jente;0;-10;Alle eierformer;*;*;*;;;;;;;;;;;1;4361;8720
1;EUIndeks_1385;Motivasjon;EUIndeks_1385;Motivasjon;2021-22;2;I;Hele landet;38;Vestfold og Telemark;38;Vestfold og Telemark;0;Alle;Alle grupper;2;SFB;Studieforberedende;PB;Påbygging til generell studiekompetanse;1;3;Videregående trinn 3;1;G;Gutt;0;-10;Alle eierformer;*;*;*;;;;;;;;;;;1;4361;8720
1;EUIndeks_1382;Vurdering for læring;EUIndeks_1382;Vurdering for læring;2021-22;2;I;Hele landet;38;Vestfold og Telemark;38;Vestfold og Telemark;0;Alle;Alle grupper;2;SFB;Studieforberedende;ME;Medier og kommunikasjon;1;3;Videregående trinn 3;1;J;Jente;0;-10;Alle eierformer;*;*;*;;;;;;;;;;;1;4361;8720
1;EUIndeks_1382;Vurdering for læring;EUIndeks_1382;Vurdering for læring;2021-22;2;I;Hele landet;38;Vestfold og Telemark;38;Vestfold og Telemark;0;Alle;Alle grupper;2;SFB;Studieforberedende;KD;Kunst, design og arkitektur;1;3;Videregående trinn 3;1;J;Jente;0;-10;Alle eierformer;*;*;*;;;;;;;;;;;1;4361;8720
1;EUIndeks_1382;Vurdering for læring;EUIndeks_1382;Vurdering for læring;2021-22;2;I;Hele landet;38;Vestfold og Telemark;38;Vestfold og Telemark;0;Alle;Alle grupper;2;SFB;Studieforberedende;KD;Kunst, design og arkitektur;1;3;Videregående trinn 3;1;G;Gutt;0;-10;Alle eierformer;*;*;*;;;;;;;;;;;1;4361;8720
1;EUIndeks_1382;Vurdering for læring;EUIndeks_1382;Vurdering for læring;2021-22;2;I;Hele landet;38;Vestfold og Telemark;38;Vestfold og Telemark;0;Alle;Alle grupper;2;SFB;Studieforberedende;PB;Påbygging til generell studiekompetanse;1;3;Videregående trinn 3;1;G;Gutt;0;-10;Alle eierformer;*;*;*;;;;;;;;;;;1;4361;8720
1;EUIndeks_1382;Vurdering for læring;EUIndeks_1382;Vurdering for læring;2021-22;2;I;Hele landet;38;Vestfold og Telemark;38;Vestfold og Telemark;0;Alle;Alle grupper;2;SFB;Studieforberedende;ST;Studiespesialisering;1;3;Videregående trinn 3;1;G;Gutt;0;-10;Alle eierformer;*;*;*;;;;;;;;;;;1;4361;8720
1;EUIndeks_1383;Læringskultur;EUIndeks_1383;Læringskultur;2021-22;2;I;Hele landet;38;Vestfold og Telemark;38;Vestfold og Telemark;0;Alle;Alle grupper;2;SFB;Studieforberedende;ME;Medier og kommunikasjon;1;3;Videregående trinn 3;1;J;Jente;0;-10;Alle eierformer;*;*;*;;;;;;;;;;;1;4361;8720
1;EUIndeks_1383;Læringskultur;EUIndeks_1383;Læringskultur;2021-22;2;I;Hele landet;38;Vestfold og Telemark;38;Vestfold og Telemark;0;Alle;Alle grupper;2;SFB;Studieforberedende;KD;Kunst, design og arkitektur;1;3;Videregående trinn 3;1;J;Jente;0;-10;Alle eierformer;*;*;*;;;;;;;;;;;1;4361;8720
1;EUIndeks_1383;Læringskultur;EUIndeks_1383;Læringskultur;2021-22;2;I;Hele landet;38;Vestfold og Telemark;38;Vestfold og Telemark;0;Alle;Alle grupper;2;SFB;Studieforberedende;PB;Påbygging til generell studiekompetanse;1;3;Videregående trinn 3;1;G;Gutt;0;-10;Alle eierformer;*;*;*;;;;;;;;;;;1;4361;8720
1;EUIndeks_1381;Støtte hjemmefra;EUIndeks_1381;Støtte hjemmefra;2021-22;2;I;Hele landet;38;Vestfold og Telemark;38;Vestfold og Telemark;0;Alle;Alle grupper;2;SFB;Studieforberedende;ME;Medier og kommunikasjon;1;3;Videregående trinn 3;1;J;Jente;0;-10;Alle eierformer;*;*;*;;;;;;;;;;;1;4361;8720
1;EUIndeks_1381;Støtte hjemmefra;EUIndeks_1381;Støtte hjemmefra;2021-22;2;I;Hele landet;38;Vestfold og Telemark;38;Vestfold og Telemark;0;Alle;Alle grupper;2;SFB;Studieforberedende;KD;Kunst, design og arkitektur;1;3;Videregående trinn 3;1;J;Jente;0;-10;Alle eierformer;*;*;*;;;;;;;;;;;1;4361;8720
1;EUIndeks_1381;Støtte hjemmefra;EUIndeks_1381;Støtte hjemmefra;2021-22;2;I;Hele landet;38;Vestfold og Telemark;38;Vestfold og Telemark;0;Alle;Alle grupper;2;SFB;Studieforberedende;KD;Kunst, design og arkitektur;1;3;Videregående trinn 3;1;G;Gutt;0;-10;Alle eierformer;*;*;*;;;;;;;;;;;1;4361;8720
1;EUIndeks_1381;Støtte hjemmefra;EUIndeks_1381;Støtte hjemmefra;2021-22;2;I;Hele landet;38;Vestfold og Telemark;38;Vestfold og Telemark;0;Alle;Alle grupper;2;SFB;Studieforberedende;PB;Påbygging til generell studiekompetanse;1;3;Videregående trinn 3;1;G;Gutt;0;-10;Alle eierformer;*;*;*;;;;;;;;;;;1;4361;8720
1;EUIndeks_1386;Elevdemokrati og medvirkning;EUIndeks_1386;Elevdemokrati og medvirkning;2021-22;2;I;Hele landet;38;Vestfold og Telemark;38;Vestfold og Telemark;0;Alle;Alle grupper;2;YRK;Yrkesfaglig;SR;Salg, service og reiseliv;1;1;Videregående trinn 1;1;J;Jente;0;-10;Alle eierformer;*;*;*;;;;;;;;;;;1;4361;8720
1;EUIndeks_1387;Felles regler;EUIndeks_1387;Felles regler;2021-22;2;I;Hele landet;38;Vestfold og Telemark;38;Vestfold og Telemark;0;Alle;Alle grupper;2;YRK;Yrkesfaglig;SR;Salg, service og reiseliv;1;1;Videregående trinn 1;1;J;Jente;0;-10;Alle eierformer;*;*;*;;;;;;;;;;;1;4361;8720
1;EUIndeks_1386;Elevdemokrati og medvirkning;EUIndeks_1386;Elevdemokrati og medvirkning;2021-22;2;I;Hele landet;38;Vestfold og Telemark;38;Vestfold og Telemark;0;Alle;Alle grupper;2;YRK;Yrkesfaglig;SR;Salg, service og reiseliv;1;2;Videregående trinn 2;1;J;Jente;0;-10;Alle eierformer;*;*;*;;;;;;;;;;;1;4361;8720
1;EUIndeks_1386;Elevdemokrati og medvirkning;EUIndeks_1386;Elevdemokrati og medvirkning;2021-22;2;I;Hele landet;38;Vestfold og Telemark;38;Vestfold og Telemark;0;Alle;Alle grupper;2;YRK;Yrkesfaglig;IM;Informasjonsteknologi og medieproduksjon;1;1;Videregående trinn 1;1;G;Gutt;0;-10;Alle eierformer;*;*;*;;;;;;;;;;;1;4361;8720
1;EUIndeks_1386;Elevdemokrati og medvirkning;EUIndeks_1386;Elevdemokrati og medvirkning;2021-22;2;I;Hele landet;38;Vestfold og Telemark;38;Vestfold og Telemark;0;Alle;Alle grupper;2;YRK;Yrkesfaglig;FD;Frisør, blomster, interiør og eksponeringsdesign;1;1;Videregående trinn 1;1;G;Gutt;0;-10;Alle eierformer;*;*;*;;;;;;;;;;;1;4361;8720
1;EUIndeks_1387;Felles regler;EUIndeks_1387;Felles regler;2021-22;2;I;Hele landet;38;Vestfold og Telemark;38;Vestfold og Telemark;0;Alle;Alle grupper;2;YRK;Yrkesfaglig;SR;Salg, service og reiseliv;1;2;Videregående trinn 2;1;J;Jente;0;-10;Alle eierformer;*;*;*;;;;;;;;;;;1;4361;8720
1;EUIndeks_1386;Elevdemokrati og medvirkning;EUIndeks_1386;Elevdemokrati og medvirkning;2021-22;2;I;Hele landet;38;Vestfold og Telemark;38;Vestfold og Telemark;0;Alle;Alle grupper;2;YRK;Yrkesfaglig;IM;Informasjonsteknologi og medieproduksjon;1;2;Videregående trinn 2;1;G;Gutt;0;-10;Alle eierformer;*;*;*;;;;;;;;;;;1;4361;8720
1;EUIndeks_1386;Elevdemokrati og medvirkning;EUIndeks_1386;Elevdemokrati og medvirkning;2021-22;2;I;Hele landet;38;Vestfold og Telemark;38;Vestfold og Telemark;0;Alle;Alle grupper;2;YRK;Yrkesfaglig;FD;Frisør, blomster, interiør og eksponeringsdesign;1;2;Videregående trinn 2;1;G;Gutt;0;-10;Alle eierformer;*;*;*;;;;;;;;;;;1;4361;8720
1;EUIndeks_1387;Felles regler;EUIndeks_1387;Felles regler;2021-22;2;I;Hele landet;38;Vestfold og Telemark;38;Vestfold og Telemark;0;Alle;Alle grupper;2;YRK;Yrkesfaglig;IM;Informasjonsteknologi og medieproduksjon;1;2;Videregående trinn 2;1;G;Gutt;0;-10;Alle eierformer;*;*;*;;;;;;;;;;;1;4361;8720
1;EUIndeks_1387;Felles regler;EUIndeks_1387;Felles regler;2021-22;2;I;Hele landet;38;Vestfold og Telemark;38;Vestfold og Telemark;0;Alle;Alle grupper;2;YRK;Yrkesfaglig;FD;Frisør, blomster, interiør og eksponeringsdesign;1;2;Videregående trinn 2;1;G;Gutt;0;-10;Alle eierformer;*;*;*;;;;;;;;;;;1;4361;8720
1;EUIndeks_1386;Elevdemokrati og medvirkning;EUIndeks_1386;Elevdemokrati og medvirkning;2021-22;2;I;Hele landet;38;Vestfold og Telemark;38;Vestfold og Telemark;0;Alle;Alle grupper;2;YRK;Yrkesfaglig;HS;Helse- og oppvekstfag;1;2;Videregående trinn 2;1;G;Gutt;0;-10;Alle eierformer;*;*;*;;;;;;;;;;;1;4361;8720
1;EUIndeks_1386;Elevdemokrati og medvirkning;EUIndeks_1386;Elevdemokrati og medvirkning;2021-22;2;I;Hele landet;38;Vestfold og Telemark;38;Vestfold og Telemark;0;Alle;Alle grupper;2;YRK;Yrkesfaglig;HS;Helse- og oppvekstfag;1;1;Videregående trinn 1;1;G;Gutt;0;-10;Alle eierformer;*;*;*;;;;;;;;;;;1;4361;8720
1;EUIndeks_1387;Felles regler;EUIndeks_1387;Felles regler;2021-22;2;I;Hele landet;38;Vestfold og Telemark;38;Vestfold og Telemark;0;Alle;Alle grupper;2;YRK;Yrkesfaglig;HS;Helse- og oppvekstfag;1;1;Videregående trinn 1;1;G;Gutt;0;-10;Alle eierformer;*;*;*;;;;;;;;;;;1;4361;8720
